Job Titles,Employees,Industry,City,State,Country,Date Post,Job Skills
Service Assurance Engineer,"1,001-5,000 employees ", Telecommunications,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"Attention to Detail, DWDM, Interoperability, Layer 2, Multiprotocol Label Switching (MPLS), Network Engineering, Organization Skills, Synchronous Digital Hierarchy (SDH), and Team Motivation,Communication"
Service Assurance Engineer,"1,001-5,000 employees ", Telecommunications,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/26/2023,"Attention to Detail, DWDM, Interoperability, Layer 2, Multiprotocol Label Switching (MPLS), Network Engineering, Organization Skills, Synchronous Digital Hierarchy (SDH), and Team Motivation,"
Service Delivery Coordinator - Wellbore Constructions,11-50 employees , Staffing and Recruiting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2024,"Calculations, Drag, IT Service Management, Operations, Optimization, Quote, Service Delivery, Service-Level Agreements (SLA), Supervisory Skills, and Torque,Calculations, Drag, IT Service Management, Operations, Optimization, Quote, Service Delivery, Service-Level Agreements (SLA), Supervisory Skills, and Torque"
Service Desk Analyst,"10,001+ employees ", IT Services and IT Consulting,Cyberjaya, Selangor, Malaysia,1/7/2024,"Customer Service, Interpersonal Communication, Interpersonal Skills, Korean, Oral Communication, and Service Desk,Analytical Skills, Communication, Problem Solving, and Technical Support"
Service Engineer,"10,001+ employees ", Motor Vehicle Manufacturing,Puchong, Selangor, Malaysia,12/22/2023,"Automation, English, Service Engineering, Serviceability, Technical Direction, and Technical Liaison,Communication, Problem Solving, Project Teams, and Technical Support"
Service Technical Support Engineer,"10,001+ employees "," Appliances, Electrical, and Electronics Manufacturing",Selangor,Selangor, Malaysia,1/7/2024,"Calming, Customer Support, Electrical Equipment, HVAC, Root Cause, Root Cause Analysis, Stressful Situations, and Troubleshooting,"
Shipper Support Agent,"10,001+ employees ", Truck Transportation,Subang Jaya, Selangor, Malaysia,12/1/2023,"Communication,Contact Centers and Interpersonal Skills"
Site Reliability Engineer,201-500 employees , Computer Games,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/11/2024,"Communication and Problem Solving,Automation, Capacity Planning, Container Orchestration, Reliability, Site Reliability Engineering, System Administration, Troubleshooting, and Unix Administration"
SNOC L1 Support,"5,001-10,000 employees ", Telecommunications,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/29/2023,"Analytical Skills, Communication, and ISO Standards,Bug Tracking, Ethical Hacking, Key Performance Indicators, Log Analysis, Standard Operating Procedure (SOP), Ticketing Systems, and Troubleshooting"
"SO, Collection Officer- Retail Credit Management","10,001+ employees ", Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Communication,Cash Collection, Computer Literacy, Credit Control, Credit Management, Debt Collection, Finance, Malay, Mandarin, and Target Driven"
SOC Engineer,"1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/30/2023,"Analytical Skills and Problem Solving,AWS Security, Amazon Web Services (AWS), Information Security, Information Security Analysis, Mathematics, Microsoft Azure, Network Security, and Splunk"
Software Developer - Power Test,"1,001-5,000 employees ", Semiconductor Manufacturing,Ipoh, Perak, Malaysia,1/3/2024,"Databases, Relational Databases, SQL, and Software Development,C#, Computer Science, Electrical Testing, Production Support, Software Testing, and Visual Basic .NET (VB.NET)"
Software Developer Analyst,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Computer Engineering, Computer Science, Visual Basic .NET (VB.NET), and Written Communication,"
Software Engineer,11-50 employees, IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/8/2024,"API Development, C (Programming Language), C#, Cascading Style Sheets (CSS), Computer Science, Object-Oriented Programming (OOP), Programming, Web Application Development, and Web Applications,Communication"
Software Engineer - Data Solutions,51-200 employees , Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/6/2024,"Communication, Data Science, Databases, SQL, and Software Development,Computer Science, Data Architecture, Data Modeling, Database Systems, and Web Applications"
"Software Engineer, Backend","5,001-10,000 employees ", Software Development,Petaling Jaya, Selangor, Malaysia,12/26/2023,"Back-End Web Development and Software Development,Computer Science, Data Structures, Optimization, Performance Analysis, Programming, Software Quality, Software Systems, and System Performance"
Software Quality Assurance Engineer,"501-1,000 employees ", IT Services and IT Consulting,Selangor,Selangor, Malaysia,12/20/2023,"SQL,ASP.NET Core, Automated Software Testing, Google Analytics, LoadRunner, Manual Testing, MySQL, Selenium, Software Testing, and User Acceptance Testing"
Software Quality Assurance Engineer - [RID-00201],201-500 employees ," Technology, Information and Internet",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/28/2023,"Black Box Testing, Bug Tracking, Design Documents, REST APIs, Server Architecture, Test Cases, Test Scripts, Tracking Systems, and White Box,Quality Assurance"
Software Support Engineer,"10,001+ employees ", Software Development,Petaling Jaya, Selangor, Malaysia,1/10/2024,"4GL, Customer Satisfaction, Issue Management, and Troubleshooting,Analytical Skills, Communication, and Software Development"
Software Test Engineer,"1,001-5,000 employees ", Software Development,Shah Alam, Selangor, Malaysia ,1/10/2024,"Software Testing, Test Automation, Test Cases, Test Scripts, and Testing Tools,Problem Solving, Quality Assurance, Software Development, Test Planning, and User Requirements"
Software Tester,"10,001+ employees ", Insurance,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2024,"API Testing, Software Testing, Test Cases, Test Data, Test Execution, Test Requirements, and Test Scripts,Quality Assurance, Software Development, and Test Planning"
Solar PV Project Engineering Personnel,11-50 employees , Human Resources Services,Petaling Jaya, Selangor, Malaysia,11/30/2023,"Energy Industry, Equipment Selection, Industry standards, PVSyst, Project Plans, Renewable Energy, Solar Energy, and Solar PV,Construction Drawings and Technical Documentation"
Solution Engineer,51-200 employees, IT Services and IT Consulting,Petaling Jaya, Selangor, Malaysia,12/12/2023,"Artificial Intelligence (AI),Azure Infrastructure as a Service (IaaS), Cloud Computing, DevOps, Infrastructure as a Service (IaaS), Kubernetes, Machine Learning, Microsoft 365, Presales, and Solution Architecture"
Solution/System Analyst,"10,001+ employees ", Semiconductor Manufacturing,Seremban, Negeri Sembilan, Malaysia,1/8/2024,"Business Requirements, Computer Science, Enterprise Solution Design, Information Technology, Systems Analysis, and Technical Solution Design,Analytical Skills, Communication, Problem Solving, and Software Development"
Sourcing Engineer ,"10,001+ employees ", Staffing and Recruiting,Selangor,Selangor, Malaysia,1/6/2024,"Computer Numerical Control (CNC), Cost Reduction, Handle Multiple Projects, Mechanical Engineering, Procurement, Source Development, and Supplier Quality,"
Sourcing Specialist,201-500 employees , Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Contract Negotiation, Human Resources (HR), Interviewing, Procurement, Purchasing, Recruiting, Sourcing, and Strategic Sourcing,Teamwork"
"Specialist, Record to Report","5,001-10,000 employees ", Internet Marketplace Platforms,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/21/2023,"Accounting Standards, Accruals, Diverse Groups, Fixed Assets, General Accounts, General Ledgers, Ledger Management, Prepayment Processing, R2R, and Statutory Accounting Principles (SAP),Accounting Standards, Accruals, Diverse Groups, Fixed Assets, General Accounts, General Ledgers, Ledger Management, Prepayment Processing, R2R, and Statutory Accounting Principles (SAP)"
"Specialist, Talent Acquisition ","5,001-10,000 employees ", Internet Marketplace Platforms,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"HR Management, Human Resources (HR), Human Resources Information Systems (HRIS), Interviewing, Onboarding, Recruiting, Soft Skills, Talent Management, Task Analysis, and Tracking Systems,HR Management, Human Resources (HR), Human Resources Information Systems (HRIS), Interviewing, Onboarding, Recruiting, Soft Skills, Talent Management, Task Analysis, and Tracking Systems"
Strategic Planning Industrial Engineer,"10,001+ employees ", Semiconductor Manufacturing,Taman Pulau Pinang,Pulau Pinang, Malaysia ,1/5/2024,"Capacity Planning, Capital Budgeting, Financial Systems, Industrial Engineering, and Optimization,Communication, Data Analysis, Data Analytics, Microsoft Power BI, and Problem Solving"
Strategy & Operations,"5,001-10,000 employees "," Technology, Information and Internet",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/11/2023,"Organization Skills, Performance Monitoring, Query Writing, Stakeholder Management, and Written Communication,Analytical Skills, Communication, Critical Thinking, Problem Solving, and Query Languages"
Strategy & Operations,"5,001-10,000 employees "," Technology, Information and Internet",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Organization Skills, Performance Monitoring, Query Writing, Stakeholder Management, and Written Communication,"
Supervisor,"1,001-5,000 employees ", Construction,Taman Pulau Pinang,Pulau Pinang, Malaysia,1/2/2024,"Computer Literacy, Fall Protection, Industrial Safety, Occupational Health, and Safety Awareness,Construction Safety, Environment, Health, and Safety (EHS), Industrial Hygiene, Microsoft PowerPoint, and Safety Training"
Supplier Quality Engineer ,201-500 employees , Renewable Energy Equipment Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/14/2023,"Supplier Audits and Supplier Quality Management,DMAIC, Industry standards, Manufacturing Processes, Production Processes, Statistical Analysis, Statistical Analysis Tools, Statistical Tools, and Supplier Quality"
Supplier Quality Engineer ,"1,001-5,000 employees ", Human Resources Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Quality Assurance, Quality Auditing, and Site Inspections,Product Requirements, Production Part Approval Process (PPAP), Quality Engineering, SCAR, Supplier Development, and Supplier Quality"
Supply Chain Management Trainee,201-500 employees , Medical Equipment Manufacturing,Subang Jaya, Selangor, Malaysia ,1/8/2024,"Communication,Medical Devices, Order Fulfillment, Order Processing, SAP Products, SAP S/4HANA, and Supply Chain Management"
Supply Chain Officer,"10,001+ employees ", Chemical Manufacturing,Subang Jaya, Selangor, Malaysia,12/25/2023,"Analytical Skills, Communication, and Problem Solving,Capacity Planning, Customer Requirements, Leadership, Procurement, Raw Materials, Strategic Communications, and Supply Chain Management"
Supply Chain SIOP / MPS Analyst,"10,001+ employees ", Motor Vehicle Manufacturing,Nilai, Negeri Sembilan, Malaysia,1/8/2024,"Teamwork,Customer Service, Delivery Performance, Production Planning, Production Schedules, and SAP Products"
Supply Planner I,"10,001+ employees "," Appliances, Electrical, and Electronics Manufacturing",Penang,Pulau Pinang, Malaysia,12/21/2023,"Communication,Cost Reduction, Demand Planning, Market Analysis, Negotiation, Organization Skills, Procurement, Production Planning, Purchase Requisitions, and Strategic Procurement"
Supply Planner I,"10,001+ employees "," Appliances, Electrical, and Electronics Manufacturing",Bayan Lepas,Pulau Pinang, Malaysia,11/28/2023,"Cost Reduction, Demand Planning, Market Analysis, Negotiation, Organization Skills, Procurement, Production Planning, Purchase Requisitions, and Strategic Procurement,"
Support Center Analyst,"1,001-5,000 employees ", IT Services and IT Consulting,Shah Alam, Selangor, Malaysia,12/28/2023,"Communication,Contact Centers, Customer Service, Email Etiquette, Etiquette, Help Desk Support, Information Technology, Support Center, Ticketing Systems, and Written Communication"
Sustainability Officer,"10,001+ employees ", Real Estate,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/26/2023,"Energy Conservation, Energy Management, English, Risk Assessment, Scopes, and Viability,Analytical Skills, Communication, Microsoft Excel, and Microsoft PowerPoint"
SW Test Engineer,"10,001+ employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2024,"API Testing, Computer Science, Manual Testing, Root Cause, Software Projects, Software Testing, Test Cases, Test Execution, Test Procedures, and Testing Tools,API Testing, Computer Science, Manual Testing, Root Cause, Software Projects, Software Testing, Test Cases, Test Execution, Test Procedures, and Testing Tools"
System Analyst,"1,001-5,000 employees ", IT Services and IT Consulting,Bayan Lepas,Pulau Pinang, Malaysia,1/4/2024,"Analytical Skills, Microsoft Excel, and Problem Solving,Computer Engineering, Computer Science, English, Reporting, Systems Analysis, Troubleshooting, and VBA Excel"
System Engineer,201-500 employees , Staffing and Recruiting,Damansara, Selangor, Malaysia ,1/7/2024,"Analytical Skills, Problem Solving, and Software Development,C#, Computer Science, System Administration, Systems Engineering, Technical Specs, Troubleshooting, and Windows Desktop Administration"
System Support Specialist,"10,001+ employees "," Transportation, Logistics, Supply Chain and Storage",Cyberjaya, Selangor, Malaysia,12/22/2023,"Help Desk Support, Network Administration, System Administration, and Troubleshooting,Technical Support"
System Support Specialist,"10,001+ employees "," Transportation, Logistics, Supply Chain and Storage",Cyberjaya, Selangor, Malaysia,12/21/2023,"Technical Support,Help Desk Support, Network Administration, System Administration, and Troubleshooting"
Systems Analyst 4,"10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"Software Development,Briefing, Business Requirements, Computer Science, Development Testing, Information Technology, Integration Testing, Manual Testing, Systems Analysis, and Test Cases"
Systems Engineer,"1,001-5,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/27/2023,"Customer Service, System Administration, System Performance, Systems Engineering, and Troubleshooting,"
Tactical Buyer,"10,001+ employees ", Motor Vehicle Manufacturing,Shah Alam, Selangor, Malaysia,12/6/2023,"Procurement, Purchase Orders, Quotations, and Supply Chain Management,Procurement, Purchase Orders, Quotations, and Supply Chain Management"
Talent Acquisition Specialist,"10,001+ employees ", Packaging and Containers Manufacturing,Petaling Jaya, Selangor, Malaysia,12/29/2023,"Communication,Human Resources (HR), Interpersonal Communication, Interviewing, Onboarding, Recruiting, Skilled Multi-tasker, Sourcing, and Talent Management"
Talent Acquisition Specialist,"5,001-10,000 employees ", Staffing and Recruiting,Petaling Jaya, Selangor, Malaysia,12/26/2023,"Communication,Applicant Tracking Systems, Human Resources (HR), Interviewing, Onboarding, Recruiting, Talent Management, and Tracking Systems"
Talent Advancement Program,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/22/2023,"Business Process Improvement, Business Readiness, HR Strategy, Human Resources (HR), Patch Management, Program Control, Talent Management, and Vulnerability,Communication and Problem Solving"
Talent Advancement Program (TAP),"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/6/2024,"Business Process Improvement, Business Readiness, Career Counseling, HR Strategy, Human Resources (HR), Patch Management, Program Control, Talent Management, and Vulnerability,Communication"
Talent Partner,"10,001+ employees ", Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/2/2024,"Consumer Goods, Continuous Process Improvement, Customer Service, Direct Sourcing, Human Resources (HR), Interpersonal Skills, Interviewing, Onboarding, and Recruiting,Communication"
Tax Consulting Assistant,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,12/7/2023,"English, Financial Statements, Income Tax, Interpersonal Skills, Malay, Tax Accounting, Tax Advisory, and Tax Preparation,Accounting Software and Communication"
Teaching Assistant,51-200 employees , E-learning,Bandar Baru Bangi, Selangor, Malaysia ,12/29/2023,"Communication, Problem Solving, and Teamwork,Assistant Teaching, Communication Training, Conflict Resolution, Malay, Observation, Oral Communication, and Working with Children"
Technical / Application Support,11-50 employees , Human Resources Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Communication, Problem Solving, and Technical Support,.NET Framework, Application Programming Interfaces (API), Application Support, C (Programming Language), C#, Service Levels, and Troubleshooting"
Technical / Application Support,11-50 employees , Human Resources Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/6/2024,"NET Framework, Application Programming Interfaces (API), Application Support, C (Programming Language), C#, Service Levels, and Troubleshooting,"
Technical Account,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/25/2023,"Communication Training, Daily Reports, Manual Testing, Oral Communication, Software Testing, Test Management, and Workload Prioritization,"
Technical Assistant,11-50 employees , Staffing and Recruiting,Subang Jaya, Selangor, Malaysia,12/28/2023,"Analytical Skills, Communication, Problem Solving, and Technical Support,ELV, Fire Alarm, and Organization Skills"
Technical Support Consultant,51-200 employees , IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/12/2023,"Communication and SQL,C#, English, Entity Framework, Framework Design, Knowledge Acquisition, Unit Testing, Windows, and Windows Presentation Foundation (WPF)"
Technical Support Engineer,"1,001-5,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/29/2023,"Computer Information Systems, Computer Science, Fiddler, Interpersonal Skills, Process Monitor, Support Engineers, and Troubleshooting,Communication, Problem Solving, and Technical Support"
Technical Support Engineer ,"10,001+ employees ", Telecommunications,Bayan Lepas,Pulau Pinang, Malaysia,12/11/2023,"Communication and Technical Support,Computer Information Systems, Computer Science, Customer Support, IGMP, Operating Systems, Real-Time Transport Protocol (RTP), Troubleshooting, and User Datagram Protocol (UDP)"
Technical Support Engineer ,"5,001-10,000 employees "," Technology, Information and Internet",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/25/2023,"Technical Support,Briefing"
Technical Support Representative,1-10 employees, IT Services and IT Consulting,Puchong, Selangor, Malaysia,12/22/2023,"Technical Support,Computer Science, Customer Loyalty, Employee Benefits, Information Technology, Interpersonal Communication, Knowledge Base, Operations, Self-confidence, and Troubleshooting"
Technology Analyst,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/25/2023,"Computer Science, Information Technology, Java, JavaScript, Kotlin, Programming, and Support Systems,Communication, SQL, and Technical Requirements"
Technology Analyst - Digital Customer,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/6/2023,"Business Requirements, Enterprise Solution Design, Sales Transformation, Salesforce Sales Cloud, Technical Architecture, Technical Solution Design, Technology Consulting, and Workshops,Analytical Skills and Technical Requirements"
Technology Specialist,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Computer Science, Data Center Management, Documentation, IT Operations, IT Operations Management, and Technically Competent,Communication"
Teradata / ETL Informatica Developer,"10,001+ employees ", Business Consulting and Services,Cyberjaya, Selangor, Malaysia,1/6/2024,"Aldon, BMC Control-M, Data Warehousing, Extract, Transform, Load (ETL), Informatica, Oracle Meter Data Management (MDM), Software Deployment, and Teradata,Hadoop and IDQ"
Test Analyst,"10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia ,12/25/2023,"Business Requirements, Computer Science, Integration Testing, Manual Testing, Software Testing, System Testing, Test Cases, and Test Strategy,"
Test Engineer,"10,001+ employees ", Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/19/2023,"Quality Assurance and Test Planning,Automation, Documentation, Manual Testing, Project Assurance, Software Testing, Test Automation, Test Data, and Test Strategy"
Test Engineer,"10,001+ employees ", Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/2/2024,"Automation, Documentation, Manual Testing, Project Assurance, Software Testing, Test Automation, Test Data, and Test Strategy,Quality Assurance and Test Planning"
"Test Engineer, CatDV","501-1,000 employees",IT Services and IT Consulting, Petaling Jaya, Selangor, Malaysia,1/4/2024,"Communication and Quality Control,"
TEST-1,"1,001-5,000 employees ", Banking, Petaling Jaya,Selangor, Malaysia,11/26/2023,"Communication Training, Daily Reports, Manual Testing, Oral Communication, Software Testing, Test Management, and Workload Prioritization,"
Tester I - Software Testing,"10,001+ employees ", IT Services and IT Consulting,Bayan Lepas,Pulau Pinang, Malaysia,12/17/2023,"Bug Tracking, Manual Testing, Relevance, Requirements Management, Scenario Testing, Selenium WebDriver, Software Testing, Test Cases, Test Data, and Test Execution,Bug Tracking, Manual Testing, Relevance, Requirements Management, Scenario Testing, Selenium WebDriver, Software Testing, Test Cases, Test Data, and Test Execution"
Trainee Programme (Business Marketing),11-50 employees ," Technology, Information and Internet",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2024,"Conducting Meetings, Customer Service, English, Financial Instruments, Interpersonal Skills, Malay, and Mandarin,"
Training Executive-Southern Region,"10,001+ employees ", Insurance,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Analytical Skills,Brochures, Business Insights, Coaching, Financial Systems, Market Segmentation, Presentations, Sales Processes, Training, and Variance Analysis"
Transaction Surveillance Analyst,"10,001+ employees ",Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Celonis, Credit, Credit Risk Management, Finance, Financial Transaction Processing, MicroStrategy, Sarbanes-Oxley Act, and Statutory Accounting Principles (SAP),Critical Thinking and Risk Management"
Transaction Surveillance Analyst,"10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/13/2023,"Analytical Skills, Communication, and Data Analysis,Anti-Money Laundering, Attention to Detail, Certification Testing, Counter-Terrorist Financing, Follow-through Skills, Knowledge Acquisition, and Surveillance"
Transaction Surveillance Analyst,"1,001-5,000 employees ", Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/25/2023,"Analytical Skills, Communication, and Data Analysis,Anti-Money Laundering, Attention to Detail, Certification Testing, Counter-Terrorist Financing, Follow-through Skills, Knowledge Acquisition, and Surveillance"
Educational Developer - Technology,11-50 employees ,Education & Training,Petaling,Selangor,Malaysia,11/22/2023,Workplace Training & Assessment
Software Business Analyst,11-50 employees ,Information & Communication Technology,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,11/22/2023,Business/Systems Analysts
Data Analyst,11-50 employees ,Consulting & Strategy,Petaling,Selangor,Malaysia,11/22/2023,Analysts
System Analyst - IT,11-50 employees ,Information & Communication Technology,Petaling,Selangor,Malaysia,11/22/2023,Networks & Systems Administration
"Executive, Industrial Sales",11-50 employees ,Sales,Seberang Perai,Pulau Pinang,Malaysia,11/24/2023,Account & Relationship Management
Fund Accountant,11-50 employees ,Banking & Financial Services,Johor Bahru, Johor,Malaysia,11/26/2023,Funds Management
Account cum Admin,11-50 employees ,Accounting,Bayan Lepas,Pulau Pinang,Malaysia,11/29/2023,Bookkeeping & Small Practice Accounting
"Sr Analyst - Talent, L&D (HSE)",11-50 employees ,Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,11/29/2023,Other
"Senior Manager, Group Internal Audit",11-50 employees ,Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,12/1/2023,Audit - Internal
Collections (Night Shift),11-50 employees ,Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,12/2/2023,Bookkeeping & Small Practice Accounting
Regional Management Assistant,11-50 employees ,Administration & Office Support,Petaling,Selangor,Malaysia,12/2/2023,"PA, EA & Secretarial"
Staff Nurse [ICU POST BASIC],11-50 employees ,Healthcare & Medical,Port Dickson,Negeri Sembilan,Malaysia,12/2/2023,"Nursing - A&E, Critical Care & ICU"
Data Privacy and Protection Officer,11-50 employees ,Banking & Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,12/2/2023,Compliance & Risk
Senior Specialist Planning System & Reporting,11-50 employees ,Information & Communication Technology,Alor Gajah,Melaka,Malaysia,12/2/2023,Networks & Systems Administration
FUNCTIONAL ANALYST,11-50 employees ,Information & Communication Technology,Sri Petaling, Federal Territory of Kuala Lumpur,Malaysia,12/2/2023,Engineering - Software
Consumer & Shopper Insights Analyst,11-50 employees ,Marketing & Communications,Petaling,Selangor,Malaysia,12/4/2023,Brand Management
Outlet Crew (Full-time) - Jaya One,11-50 employees ,Retail & Consumer Products,Petaling,Selangor,Malaysia,12/4/2023,Other
Research & Development Executive,11-50 employees ,Engineering,Semenyih,Selangor,Malaysia,12/4/2023,Mechanical Engineering
External Audit Senior,11-50 employees ,Accounting,Johor Bahru, Johor,Malaysia,12/4/2023,Audit - External
Audit Junior / Audit Assistant,11-50 employees ,Accounting,Petaling,Selangor,Malaysia,12/4/2023,Audit - External
"Senior Associate, Business Analyst",11-50 employees ,Banking & Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,12/4/2023,Stockbroking & Trading
Data Scientist,11-50 employees ,Information & Communication Technology,Petaling,Selangor,Malaysia,12/4/2023,Database Development & Administration
Staff Nurse [A&E Post Basic],11-50 employees ,Healthcare & Medical,Port Dickson,Negeri Sembilan,Malaysia,12/4/2023,"Nursing - A&E, Critical Care & ICU"
Database Administrator,11-50 employees ,Information & Communication Technology,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,12/4/2023,Database Development & Administration
Data Engineer,11-50 employees ,Science & Technology,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,12/4/2023,"Mathematics, Statistics & Information Sciences"
"Manager, Data Analytics",11-50 employees ,Banking & Financial Services,Petaling,Selangor,Malaysia,12/4/2023,Analysis & Reporting
Data Analyst,11-50 employees ,Information & Communication Technology,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,12/4/2023,Business/Systems Analysts
Outlet Crew (Full-time) - Hartamas Shopping Centre,11-50 employees ,Retail & Consumer Products,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,12/6/2023,Other
Staff Nurse,11-50 employees ,Healthcare & Medical,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,12/6/2023,General Practitioners
QA Engineer,11-50 employees ,"Manufacturing, Transport & Logistics",Johor Bahru, Johor,Malaysia,12/6/2023,Quality Assurance & Control
Staff Facilities Engineer (System Controls - BMS),11-50 employees ,Engineering,Seberang Perai,Pulau Pinang,Malaysia,12/6/2023,Electrical/Electronic Engineering
Senior QA/ RA & Product Specialist,11-50 employees ,Healthcare & Medical,Petaling,Selangor,Malaysia,12/6/2023,Pharmaceuticals & Medical Devices
Administrator,11-50 employees ,Administration & Office Support,Johor Bahru, Johor,Malaysia,12/7/2023,Office Management
Manager (Technology Commercialisation),11-50 employees ,Marketing & Communications,Ipoh,Perak,Malaysia,12/7/2023,Product Management & Development
Business Support Analyst,11-50 employees ,Consulting & Strategy,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,12/7/2023,Analysts
Data Engineer (Semiconductor),11-50 employees ,Information & Communication Technology,Bayan Lepas,Pulau Pinang,Malaysia,12/7/2023,Database Development & Administration
Front-End Developer,11-50 employees ,Information & Communication Technology,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,12/9/2023,Developers/Programmers
ENERGY EFFICIENCY MANAGER,11-50 employees ,Engineering,Klang,Selangor,Malaysia,12/11/2023,Management
Murex Business Analyst,11-50 employees ,Information & Communication Technology,Kuala Lumpur, Federal Territory of Kuala Lumpur,Malaysia,12/11/2023,Business/Systems Analysts
Sales Consultant,11-50 employees ,Sales, Petaling Jaya,Selangor,Malaysia,12/11/2023,Sales Representatives/Consultants
Data Analyst,11-50 employees ,Information & Communication Technology,Bayan Lepas,Pulau Pinang,Malaysia,12/12/2023,Business/Systems Analysts
Database Administrator (DBA),11-50 employees ,Information & Communication Technology,Petaling,Selangor,Malaysia,12/12/2023,Database Development & Administration
Senior Data Management - Data Analyst,11-50 employees ,Information & Communication Technology,Petaling,Selangor,Malaysia,12/12/2023,Database Development & Administration
Customer Experience Organization Data Analyst,11-50 employees ,Information & Communication Technology,Sepang,Selangor,Malaysia,12/12/2023,Business/Systems Analysts
Scientist (Bioinformatics),11-50 employees ,Science & Technology,Kajang/Bangi/Serdang,Selangor,Malaysia,12/14/2023,Biotechnology & Genetics
