,Job Titles,Employees,Industry,City,State,Country,Date Post,Job Skills
204,Generalist Customer Success Associate,"501-1,000 employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Attention to Detail, Easily Adaptable, Hospitality Industry, Malay, Max, Multitasking, Reachable, Spoken English, and Thinking Skills,Communication"
205,Data Scientist (Machine Learning),"501-1,000 employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/8/2024,"Elasticsearch, Hadoop, MongoDB, Python (Programming Language), and SQL,D3.js, MATLAB, Machine Learning, Statistical Modeling, and Weka"
206,Junior Researcher,"1,001-5,000 employees ", Market Research,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/27/2023,"Research Skills,Fast-Moving Consumer Goods (FMCG), Market Research, Qualitative Research, and Telephone Interviewing"
207,Regulatory Compliance New Associate,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/25/2023,"Anti-Money Laundering, Articulation, Benchmarking, Compliance Management, English, Financial Transactions, and KYC Verification,Analytical Skills, Communication, and Regulatory Compliance"
208,EHS Engineer,"10,001+ employees ", Semiconductor Manufacturing,Kulim, Kedah, Malaysia,12/26/2023,"Problem Solving · ISO 14001 · Workplace Safety · Quality, Health, Safety, and Environment (QHSE) · Environment, Health, and Safety (EHS) · OHSAS 18001 · Corrective Actions · Occupational Safety · Written Communication · Occupational Health,Problem Solving · ISO 14001 · Workplace Safety · Quality, Health, Safety, and Environment (QHSE) · Environment, Health, and Safety (EHS) · OHSAS 18001 · Corrective Actions · Occupational Safety · Written Communication · Occupational Health"
209,Associate Installation Analysis Engineer,"10,001+ employees ", Oil and Gas,Kulim, Kedah, Malaysia,12/26/2023,"Calculations, Computer Simulations, Finite Element Analysis (FEA), Mathcad, Orcaflex, Subsea Engineering, Technical Reports, Visual Basic for Applications (VBA), and Written Communication,Communication"
210,Quality Engineer II,"10,001+ employees "," Appliances, Electrical, and Electronics Manufacturing",Penang, Penang, Malaysia,1/4/2024,"Quality Control · Quality Assurance · Communication · Process Definition · Computer Literacy,Quality Control · Quality Assurance · Communication · Process Definition · Computer Literacy"
211,Implementation Specialist,201-500 employees , Advertising Services,Petaling Jaya, Selangor, Malaysia,11/28/2023,"Analytical Skills and Communication,Advertising, Business Administration, Customer-Focused Service, Knowledge Acquisition, Marketing, Negotiation, Request for Proposal (RFP), and Sales"
212,Engineering Coordinator,51-200 employees , Hospitals and Health Care,Putrajaya, Putrajaya Federal Territory, Malaysia ,12/26/2023,"Company Presentations, Memos, Mouse, Presentations, Proofreading, Reservations, Team Leadership, and Word Processing,Communication and Teamwork"
213,Technical Support Consultant,51-200 employees , IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/27/2023,"Communication and SQL,C#, English, Entity Framework, Framework Design, Knowledge Acquisition, Unit Testing, Windows, and Windows Presentation Foundation (WPF)"
214,Project Admin,51-200 employees , Construction,Puchong, Selangor, Malaysia,12/12/2023,"Research Skills · Project Management · Project Planning · Microsoft Outlook · Communication · Project Teams · Minutes · Negotiation · Office Administration · Administrative Assistance,Research Skills · Project Management · Project Planning · Microsoft Outlook · Communication · Project Teams · Minutes · Negotiation · Office Administration · Administrative Assistance"
215,IT Support Analyst,"10,001+ employees ", Banking,Puchong, Selangor, Malaysia,12/11/2023,"Computer Science, External Audits, IT Development, IT Hardware Support, Production Support, Qlik Sense, and Service Desk,Analytical Skills, Communication, and Technical Support"
216,Associate - Audit Assurance,"1,001-5,000 employees ", Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/25/2023,"Certified Public Accounting, Economics, Finance, Financial Reporting, Financial Statements, Generally Accepted Accounting Principles (GAAP), Interpersonal Communication, and Sarbanes-Oxley Act,Communication and Problem Solving"
217,Learning Deployment Coordinator,"10,001+ employees ", IT Services and IT Consulting,Ipoh, Perak, Malaysia,12/26/2023,"English, Process Efficiency, Reporting Requirements, and System Deployment,Communication, Microsoft Excel, Microsoft PowerPoint, Project Management, and Teamwork"
218,Engineer Technical Services,"10,001+ employees ", Professional Services,Petaling Jaya, Selangor, Malaysia,12/28/2023,"Analytical Instruments, Customer Satisfaction, English, Maintenance and Repair, Technical Services, and Troubleshooting,Analytical Skills and Technical Support"
219,Operation Executive,"10,001+ employees ", Chemical Manufacturing,Shah Alam, Selangor, Malaysia,1/8/2024,"Cross-functional Team Leadership, Customer Satisfaction, Inventory Management, Logistical Coordination, Presentations, Production Schedules, Sales Order Processing, Stock Management, and Team Collaboration,Communication"
220,Central Processing Officer ,"10,001+ employees ", Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/12/2023,"Communication, Microsoft Excel, Microsoft PowerPoint, Microsoft Word, and Teamwork,Banking, Business Administration, Credit Reports, Financing, and VBA Excel"
221,Associate,"10,001+ employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/29/2023,"Accounting Standards, Big Four Accounting Firms, Chinese, Deadline Oriented, Financial Reporting, Fund Accounting, Interpersonal Communication, Journal Entries (Accounting), Skilled Multi-tasker, and Tax Compliance,Accounting Standards, Big Four Accounting Firms, Chinese, Deadline Oriented, Financial Reporting, Fund Accounting, Interpersonal Communication, Journal Entries (Accounting), Skilled Multi-tasker, and Tax Compliance"
222,Photo Collection and Annotation,"10,001+ employees ", IT Services and IT Consulting,Klang, Selangor, Malaysia,11/30/2023,"Teamwork,Android, Annotation, Defining Requirements, Desktop Computers, English, Google Photos, Phone Manner, Photography, and Remote Control"
223,Database Admin,201-500 employees , Computer Games,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"DCL, DDL, MySQL, PostgreSQL, and Replication (Computing),Database Administration, Databases, MongoDB, NoSQL, and RDBMS"
224,"Analyst, Strategy & Analytic ","5,001-10,000 employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Business Analysis, Data Feeds, Financial Analysis, Financial Modeling, Operations Research, and Quantitative Finance,Analytical Skills, Analytics, Communication, and Data Analytics"
225,Project Admin Coordinator,11-50 employees , Information Technology & Services,Puchong, Selangor, Malaysia ,11/15/2023,"Attention to Detail, Handle Multiple Projects, Interpersonal Skills, Management Software, Organization Skills, Project Coordination, and Project Documentation,Communication, Critical Thinking, and Project Management Software"
226,Business Processing Associate,"1,001-5,000 employees ", Insurance,Cyberjaya, Selangor, Malaysia,12/25/2023,"Administrative Processes, After-Sales, Change Requests, Customer Experience, Driving Results, Financial Transaction Processing, Life Change, and Performance Management,Communication and Problem Solving"
227,Strategy & Operations,"5,001-10,000 employees "," Technology, Information and Internet",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/3/2024,"Organization Skills, Performance Monitoring, Query Writing, Stakeholder Management, and Written Communication,Analytical Skills, Communication, Critical Thinking, Problem Solving, and Query Languages"
228,Failure Analysis Engineer,"10,001+ employees ", Semiconductor Manufacturing,Taman Pulau Pinang, Penang, Malaysia,12/29/2023,"Corrective Actions, Failure Analysis, Reliability, Root Cause, and Scanning Electron Microscopy (SEM),Problem Solving"
229,Experience Customer Experience Professional,"10,001+ employees "," Appliances, Electrical, and Electronics Manufacturing",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2024,"Credit Control, Customer Experience, Customer Satisfaction, Customer Satisfaction (CSAT), Key Performance Indicators, Order Management, Sales and Marketing, Statutory Accounting Principles (SAP), and Third-Party Logistics (3PL),Communication"
230,Process Engineer,"10,001+ employees ", Oil and Gas,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Chemical Engineering, Detailed Design, Piping and Instrumentation Drawing (P&ID), Process Design, Process Engineering, and Specifications,Analytical Skills and Communication"
231,Ad Operation Executive,201-500 employees , Advertising Services,Petaling Jaya, Selangor, Malaysia,12/29/2023,"Analytical Skills and Data Analysis,A/B Testing, Advertising, Google Ads, Google Analytics, Performance Analysis, Reporting & Analysis, Statistical Data Analysis, and Web Analytics"
232,Consultant,"10,001+ employees ", Business Consulting and Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Business Requirements, English, IT Strategy, Presentations, Stressful Situations, Timelines, and Written Communication,Communication, Problem Solving, and Project Teams"
233,Data Modeler,201-500 employees , Banking,Petaling Jaya, Selangor, Malaysia,1/9/2024,"Data Ingestion, Data Modeling, Data Models, Extract, Transform, Load (ETL), Metadata, Metadata Management, Modeler, and Modeling,Databases and RDBMS"
234,Departmental Secretary,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia ,1/10/2024,"Company Secretarial Work, Computer Literacy, Debtors, English, File Systems, Internet Savvy, Interpersonal Communication, Travel Arrangements, and Typing,Communication"
235,"Executive, FAR","10,001+ employees ", Insurance,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Accounting Standards, Association of Chartered Certified Accountants (ACCA), Certified Public Accounting, Finance, General Ledger Maintenance, Insurance Industry, Month-End Close Process, Regulatory Reporting, Reporting Requirements, and Statutory,Accounting Standards, Association of Chartered Certified Accountants (ACCA), Certified Public Accounting, Finance, General Ledger Maintenance, Insurance Industry, Month-End Close Process, Regulatory Reporting, Reporting Requirements, and Statutory"
236,Departmental Secretary,"1,001-5,000 employees ", Construction,Puchong, Selangor, Malaysia,11/30/2023,"AutoCAD, Electrical Engineering, Engineering, Microsoft Office, and Problem Solving,Attention to Detail, Building Performance, Compliance Auditing, Contract Management, and M&E"
237,Collection Associate,"10,001+ employees ", Chemical Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/14/2023,"Billing Process, Debt Collection, Enterprise Resource Planning (ERP), Financial Accounting, Infor Enterprise Resource Planning (ERP), Phone Etiquette, SAP ERP, and Team Management,Communication and Problem Solving"
238,"Officer, Investment Product Governance","10,001+ employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/1/2023,"Analytical Skills, Problem Solving, and Teamwork,Banking, Data Entry, Investment Sales, Management Accounting, Precision Measuring, Responsiveness, and Sales"
239,Sales Analyst and Trade Promo Executive,"10,001+ employees ", Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/10/2024,"Problem Solving · Relational Databases · Data Analysis · Data Analytics · Communication · Analytics · Critical Thinking · Cost Savings · Promo · Empirical Research,Problem Solving · Relational Databases · Data Analysis · Data Analytics · Communication · Analytics · Critical Thinking · Cost Savings · Promo · Empirical Research"
240,Project Engineer ,"1,001-5,000 employees ", Staffing and Recruiting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,11/27/2023,"Gas Industry, Interpersonal Communication, Mechanical Engineering, Oil and Gas, Oil and Gas Industry, and Permit Applications,Analytical Skills, Communication, Computer-Aided Design (CAD), and Project Management"
241,Beam Rangers,201-500 employees , Consumer Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/9/2024,"Batteries, Beam, Conservation Issues, Ecology, Environmental Science, Fleets, Geographic Information Systems (GIS), Scooters, and Team Leadership,Communication"
242,Marketing Administrator,51-200 employees, Software Development,Petaling Jaya, Selangor, Malaysia,12/12/2023,"Skill Development,Administration, Advertising Operations, Attention to Detail, Employee Benefits, Industry standards, Life Insurance, Marketing, Marketing Campaigns, and Organization Skills"
243,Data Operations Specialist,"501-1,000 employees", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/26/2023,"Data Engineering,Attention to Detail, Cloud Applications, Cloud Infrastructure, Data Operations, Data Pipelines, Google Cloud Platform (GCP), Learning, Operations, and Operations Support"
244,QA/QC Engineer,"10,001+ employees ", Semiconductor Manufacturing,Mukim 10 (Bukit Relau), Penang, Malaysia,12/29/2023,",Supplier Audits · Communication · Product Quality · Quality Control · ISO 14001 · Problem Solving · Quality Assurance · Identifying Trends · 8D Problem Solving · Corrective Actions"
245,Quality Control Engineer,"10,001+ employees", Semiconductor Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2024,"Product Quality, Quality Assurance, Quality Control, and Skill Development,Hypertext Transfer Protocol (HTTP), Methodology, REST APIs, Scripting, Test Automation, and Testing Tools"
246,Associate – IT Audit,"1,001-5,000 employees ", Accounting,Petaling Jaya, Selangor, Malaysia,12/25/2023,"Business Process Re-engineering, Capacity Planning, Computer Science, Information Rights Management, Information Technology, JD Edwards, and Resource Planning,Analytics, Data Analytics, and Databases"
247,Junior Data Analyst,"501-1,000 employees ", Government Relations Services,Cyberjaya, Selangor, Malaysia,1/3/2024,"Databases · Analytical Skills · Problem Solving · Data Analysis · Data Visualization · Data Analytics · Data Modeling · Presentations · Statistics · Extract, Transform, Load (ETL),Databases · Analytical Skills · Problem Solving · Data Analysis · Data Visualization · Data Analytics · Data Modeling · Presentations · Statistics · Extract, Transform, Load (ETL)"
248,Associate,"10,001+ employees ", Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/27/2023,"Accounting Standards, Big Four Accounting Firms, Deadline Oriented, Financial Reporting, Fund Accounting, Interpersonal Communication, Journal Entries (Accounting), Skilled Multi-tasker, Tax Compliance, and Waterfall Project Management,Accounting Standards, Big Four Accounting Firms, Deadline Oriented, Financial Reporting, Fund Accounting, Interpersonal Communication, Journal Entries (Accounting), Skilled Multi-tasker, Tax Compliance, and Waterfall Project Management"
249,Associate I - Business Analysis,"10,001+ employees ", IT Services and IT Consulting,Cyberjaya, Selangor, Malaysia,12/28/2023,"Business Analysis, Document Analysis, Flow Diagrams, Process Flow Diagrams, Requirements Engineering, Requirements Workshops, Software Requirements, State Diagrams, and Template Design,Technical Requirements"
250,Analytics Engineer,"10,001+ employees ", Food and Beverage Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/29/2023,"Query Languages · Data Science · Analytics · Data Analytics · Data Engineering · Databases · Data Warehousing · Visualization · Extract, Transform, Load (ETL) · Query Writing,Query Languages · Data Science · Analytics · Data Analytics · Data Engineering · Databases · Data Warehousing · Visualization · Extract, Transform, Load (ETL) · Query Writing"
251,Data Analyst,"10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"Microsoft Excel,Microsoft Excel"
252,Media Search Analyst,"10,001+ employees ", IT Services and IT Consulting,Subang Jaya, Selangor, Malaysia ,12/25/2023,"Communication and Research Skills,Apple Products, Attention to Detail, Defining Requirements, Easily Adaptable, English, Online Content, Online Research, and Remote Control"
253,Learning Deployment Coordinator ,"10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/27/2023,"English, Process Efficiency, Reporting Requirements, and System Deployment,Communication, Microsoft Excel, Microsoft PowerPoint, Project Management, and Teamwork"
254,Administrative Coordinator,11-50 employees, Civil Engineering,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"Communication and Problem Solving,Administration, Administrative Management, Chinese, and Organization Skills"
255,Solution/System Analyst,"10,001+ employees ", Semiconductor Manufacturing,Seremban, Negeri Sembilan, Malaysia,12/28/2023,"Business Requirements, Computer Science, Enterprise Solution Design, Information Technology, Systems Analysis, and Technical Solution Design,Analytical Skills, Communication, Problem Solving, and Software Development"
256,"Executive, Field Sales","10,001+ employees "," Transportation, Logistics, Supply Chain and Storage",Subang Jaya, Selangor, Malaysia ,1/4/2024,"Customer Relations, Customer Satisfaction, Enquiries, Forwarding, Freight, Freight Forwarding, Negotiation, Presentations, and Sales,Communication"
257,Solar PV Project Engineering Personnel,11-50 employees , Human Resources Services,Petaling Jaya, Selangor, Malaysia,12/29/2023,"Energy Industry, Equipment Selection, Industry standards, PVSyst, Project Plans, Renewable Energy, Solar Energy, and Solar PV,Construction Drawings and Technical Documentation"
258,DevOps Engineer - Java,"10,001+ employees "," Transportation, Logistics, Supply Chain and Storage",Cyberjaya, Selangor, Malaysia,1/5/2024,"DevOps, Jira, Kubernetes, Linux System Administration, Maven, Nginx, Technical Design, and Terraform,Python (Programming Language) and SQL"
259,Mechanical Engineer,51-200 employees , IT Services and IT Consulting,Puchong, Selangor, Malaysia,12/29/2023,"Finite Element Analysis (FEA) and Mechanical Engineering,Computer-Aided Design (CAD)"
260,Direct Response Copywriter,11-50 employees, Marketing Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/2/2024,"Advertising, Compensation, Copywriting, Direct Response Marketing, Facebook Ads, Landing Pages, Psychology, Search Engine Optimization (SEO), Strategic Thinking, and Writing,Advertising, Compensation, Copywriting, Direct Response Marketing, Facebook Ads, Landing Pages, Psychology, Search Engine Optimization (SEO), Strategic Thinking, and Writing"
261,Software Engineer,11-50 employees, IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2024,"API Development, C (Programming Language), C#, Cascading Style Sheets (CSS), Computer Science, Object-Oriented Programming (OOP), Programming, Web Application Development, and Web Applications,Communication"
262,Infrastructure Specialist,51-200 employees, IT Services and IT Consulting,Petaling Jaya, Selangor, Malaysia,12/29/2023,"Database Management System (DBMS) and SQL,Microsoft SQL Server, Middleware, MySQL, Oracle Database, Shell Scripting, and VMware"
263,Finance Associate,"10,001+ employees ", Civil Engineering,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/26/2023,"Accounts Payable (AP), Cantonese, Enquiries, Finance, Invoice Processing, Knowledge Sharing, Organization Skills, Recon, Service-Oriented Architecture (SOA), and Workload Prioritization,Accounts Payable (AP), Cantonese, Enquiries, Finance, Invoice Processing, Knowledge Sharing, Organization Skills, Recon, Service-Oriented Architecture (SOA), and Workload Prioritization"
264,Finance Analyst,"10,001+ employees ", Consumer Services,Petaling Jaya, Selangor, Malaysia,1/4/2024,"A&P, CMF, Cash Flow, Commentaries, Economics, Finance, Financial Accounting, Financial Modeling, Forecasting, and Variance Analysis,A&P, CMF, Cash Flow, Commentaries, Economics, Finance, Financial Accounting, Financial Modeling, Forecasting, and Variance Analysis"
265,Contract Admin Executive,"501-1,000 employees ", IT Services and IT Consulting,Petaling Jaya, Selangor, Malaysia,12/27/2023,"Bug Tracking, Contract Negotiation, English, Enquiries, Event Ticketing, Key Performance Indicators, Malay, Mandarin, Statutory Accounting Principles (SAP), and Ticketing Systems,Bug Tracking, Contract Negotiation, English, Enquiries, Event Ticketing, Key Performance Indicators, Malay, Mandarin, Statutory Accounting Principles (SAP), and Ticketing Systems"
266,SaaS Sales Development Representative,51-200 employees , Aviation and Aerospace Component Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/5/2024,"Communication and Problem Solving,Business-to-Business (B2B), Cold Calling, Japanese, Korean, Lead Qualification, Mandarin, Sales, and Sales Development"
267,Administrative Assistant,"10,001+ employees ", Real Estate,Ipoh, Perak, Malaysia,12/28/2023,"Basic Accounting, Command, English, Figures, Grammar, Itineraries, Punctuation, and Spelling,Analytical Skills and Problem Solving"
268,EHS Engineer,"10,001+ employees ", Semiconductor Manufacturing,Ipoh, Perak, Malaysia,12/29/2023,"Problem Solving · ISO 14001 · Workplace Safety · Quality, Health, Safety, and Environment (QHSE) · Environment, Health, and Safety (EHS) · OHSAS 18001 · Corrective Actions · Occupational Safety · Written Communication · Occupational Health,Problem Solving · ISO 14001 · Workplace Safety · Quality, Health, Safety, and Environment (QHSE) · Environment, Health, and Safety (EHS) · OHSAS 18001 · Corrective Actions · Occupational Safety · Written Communication · Occupational Health"
269,Inventory Management Engineer,"10,001+ employees ", Semiconductor Manufacturing,Kulim, Kedah, Malaysia,12/30/2023,"Problem Solving · Communication,Problem Solving · Communication"
270,Graduate Technical Program,"10,001+ employees ", Semiconductor Manufacturing,Batu Kawan, Penang, Malaysia,1/3/2024,"Problem Solving · Communication,Problem Solving · Communication"
271,Electronic Engineer,51-200 employees , IT Services and IT Consulting,Kulim, Kedah, Malaysia,12/27/2023,"Electronic Engineering, Electronics, Microcontrollers, Power Electronics, Printed Circuit Board (PCB) Design, Testing, and Troubleshooting,Electrical Engineering"
272,"Assistant/ Officer, Credit Admin","501-1,000 employees ", Real Estate,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/25/2023,","
273,Financial Operations Coordinator,51-200 employees, Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/25/2023,"Financial Operations, Financial Regulations, HR Management, HR Operations, Policies & Procedures, Procurement, and Strategic Initiatives,Financial Operations, Financial Regulations, HR Management, HR Operations, Policies & Procedures, Procurement, and Strategic Initiatives"
274,Personal Banker Associate,"10,001+ employees ", Banking,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/26/2023,"Cash Handling, Coaching, Cross-Selling, Customer Satisfaction, Deposits, Opening New Accounts, and Personal Banking,Communication, Microsoft Outlook, and Problem Solving"
275,Community Associate,51-200 employees, Marketing Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,1/4/2024,"Communication,Attention to Detail, Empathic Design, Employee Benefits, Event Planning, Events, Hospitality Industry, and Hospitality Management"
276,Business Development Officer,"5,001-10,000 employees "," Technology, Information and Internet",Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/28/2023,"Business Planning, Finance, Market Research, New Business Development, Presentation Skills, Presentations, and Sales Target Management,Business Development, Problem Solving, and Teamwork"
277,Banking Officer,51-200 employees, Banking,Johor Baharu, Johor, Malaysia,12/27/2023,"Banking, Economics, and Finance,Banking, Economics, and Finance"
278,Industrial Engineer,"10,001+ employees ", Semiconductor Manufacturing,Johor Baharu, Johor, Malaysia,12/27/2023,"Conflict Resolution, Cost Reduction, Industrial Engineering, Inventory Control, Optimization, Production Planning, and Written Communication,Communication"
279,Billing Analyst,"10,001+ employees ", Chemical Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/27/2023,"Communication and Office 365,Accounting, English, Invoicing, Mandarin, Organization Skills, SAP ERP, SAP FICO, and SAP Products"
280,Process Expert,"10,001+ employees ", Chemical Manufacturing,Petaling Jaya, Selangor, Malaysia,12/28/2023,"Accounts Payable (AP), Continuous Improvement, English, Finance, Key Performance Indicators, Management Accounting, SAP FI, SAP Products, and Statutory Accounting Principles (SAP),Communication"
281,Software Support Engineer,"10,001+ employees ", Software Development,Petaling Jaya, Selangor, Malaysia,12/28/2023,"4GL, Customer Satisfaction, Issue Management, and Troubleshooting,Analytical Skills, Communication, and Software Development"
282,IT Support Engineer,"501-1,000 employees ", IT Services and IT Consulting,Petaling Jaya, Selangor, Malaysia,12/28/2023,"Case Studies, Computer Science, Documentation, Help Desk Support, Information Technology, Interpersonal Skills, Ticketing Systems, and Troubleshooting,Communication and Technical Support"
283,Strategic Planning Industrial Engineer,"10,001+ employees ", Semiconductor Manufacturing,Taman Pulau Pinang, Penang, Malaysia ,12/27/2023,"Capacity Planning, Capital Budgeting, Financial Systems, Industrial Engineering, and Optimization,Communication, Data Analysis, Data Analytics, Microsoft Power BI, and Problem Solving"
284,Application Maintenance/Production Support,"10,001+ employees ", Business Consulting and Services,Cyberjaya, Selangor, Malaysia,1/11/2024,"DMP, Java, and Troubleshooting,Database Management System (DBMS), Databases, Research Skills, and Technical Support"
285,Tactical Buyer,"10,001+ employees ", Motor Vehicle Manufacturing,Shah Alam, Selangor, Malaysia,12/25/2023,"Procurement, Purchase Orders, Quotations, and Supply Chain Management,Procurement, Purchase Orders, Quotations, and Supply Chain Management"
286,Technical Support Representative,1-10 employees, IT Services and IT Consulting,Puchong, Selangor, Malaysia,12/26/2023,"Technical Support,Computer Science, Customer Loyalty, Employee Benefits, Information Technology, Interpersonal Communication, Knowledge Base, Operations, Self-confidence, and Troubleshooting"
287,Audit & Assurance,51-200 employees , Accounting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/26/2023,"Accounting Standards, Association of Chartered Certified Accountants (ACCA), Certified Public Accounting, Financial Statements, Institute of Chartered Accountants in England and Wales (ICAEW), and SPM,Analytical Skills, Communication, Problem Solving, and Reasoning Skills"
288,Personalized Internet Ads Assessor,"10,001+ employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/26/2023,"Application Development and Communication,Defining Requirements, Engine Development, English, Gmail, Malay, Online Content, Online Search, and Social Media"
289,Customer Service Representative,"1,001-5,000 employees ", IT Services and IT Consulting,Cyberjaya, Selangor, Malaysia,12/19/2023,"Communication,Customer Experience, Customer Relationship Management (CRM), Customer Service, Customer Support, E-Commerce, and Social Media"
290,Executive - Credit Management,"1,001-5,000 employees ", Financial Services,Subang Jaya, Selangor, Malaysia,12/20/2023,"Accounts Receivable (AR), Credit, Credit Analysis, Credit Management, Credit Risk Management, Marketing, Negotiation, and Team Leadership,Analytical Skills and Teamwork"
291,Regional Study Coordinator,"10,001+ employees ", Hospitals and Health Care,Petaling Jaya, Selangor, Malaysia,12/21/2023,"Attention to Detail, Clinical Research, Clinical Trials, Corrective Actions, Customer Satisfaction, Easily Adaptable, Interpersonal Skills, Performance Metrics, and Pharmaceutical Sample Management,Communication"
292,Quality Engineer,51-200 employees , IT Services and IT Consulting,Puchong, Selangor, Malaysia ,12/20/2023,"Quality Control · Quality Assurance,Quality Control · Quality Assurance"
293,Customer Success Associate,11-50 employees, Marketing Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/18/2023,"Attention to Detail, Business Administration, Customer Engagement, Customer Experience, Customer Success, Startups, and Tech Savy,Attention to Detail, Business Administration, Customer Engagement, Customer Experience, Customer Success, Startups, and Tech Savy"
294,Document and Product Controller,"1,001-5,000 employees ", Medical Equipment Manufacturing,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/19/2023,"Finance, Fixed-Income Investing, Linkage, Oral Communication, Product Control, Product Customization, and Product Promotion,Analytical Skills, Communication, and Document Management"
295,Teradata / ETL Informatica Developer,"10,001+ employees ", Business Consulting and Services,Cyberjaya, Selangor, Malaysia,12/18/2023,"Aldon, BMC Control-M, Data Warehousing, Extract, Transform, Load (ETL), Informatica, Oracle Meter Data Management (MDM), Software Deployment, and Teradata,Hadoop and IDQ"
296,Sales Support Specialist,"10,001+ employees ", Food and Beverage Manufacturing,Klang, Selangor, Malaysia,12/19/2023,"Customer Satisfaction, Sales Planning, Sales Processes, and Sales and Marketing,Communication and Teamwork"
297,SOC Engineer,"1,001-5,000 employees ", IT Services and IT Consulting,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/20/2023,"Analytical Skills and Problem Solving,AWS Security, Amazon Web Services (AWS), Information Security, Information Security Analysis, Mathematics, Microsoft Azure, Network Security, and Splunk"
298,Sourcing Specialist,201-500 employees , Software Development,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/21/2023,"Contract Negotiation, Human Resources (HR), Interviewing, Procurement, Purchasing, Recruiting, Sourcing, and Strategic Sourcing,Teamwork"
299,Platform Quality and Reliability,"10,001+ employees ", Semiconductor Manufacturing,Taman Pulau Pinang, Penang, Malaysia,12/22/2023,"Macros, Reliability, and Windows Programming,Computer-Aided Design (CAD)"
300,Coverage Enablement Analyst,"10,001+ employees ", Financial Services,Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia,12/20/2023,"Data Analytics · Query Languages · Analytical Skills · Business Analytics · Problem Solving · Communication · Macros · Statistical Analysis · Oral Communication · Organization Skills,Data Analytics · Query Languages · Analytical Skills · Business Analytics · Problem Solving · Communication · Macros · Statistical Analysis · Oral Communication · Organization Skills"
